308362920125943809,"('greenwich, london', 'united kingdom')","charlton, greater london","[51.48090099, 0.02420576]",casablanca,,kiki_m8,but boys who still expose are moist idiots anyway tbh
308362920260141056,"('asheboro, nc', 'united states')",2 steps ahead,"[35.69595819, -79.80695943]",eastern time (us & canada),,daireanemarie,@godshallt i'm going to walmart wit momma
308362920264339456,"('rancho cordova, ca', 'united states')",california,,pacific time (us & canada),,codytatman,@krisekris ***at walmart lol
308362920398573568,"('succasunna-kenvil, nj', 'united states')",new jersey,"[40.86042064, -74.64873361]",eastern time (us & canada),,xlovedevils,"like a drum, my heart never stops beating for you."
308362920352428032,"('gila river, az', 'united states')",carlos/4 [02/24/13 @ 12:51 pm],,none,,iluvcarlospena1,@imaginiam you are amazing i love you thank you for respecting them
308362920855744512,"('kyle, tx', 'united states')",,"[29.997002, -97.8703027]",none,,alyssanicole27,lion king is adorable (:
308362923246501888,"('platte valley, ne', 'united states')",,"[41.34414464, -96.34042361]",central time (us & canada),,__rampaige,"idk why i just put myself through the pain of painting my nails and waiting for it to dry...
it will all be picked off by tomorrow night"
308362923158429697,"('south carolina, us', 'united states')","reidsville, ga","[32.1121296, -82.0932605]",none,,4jrk9517,@matthewshumans good luck tomorrow bro. be thinkin bout ya.
308362923380703232,"('new york, ny', 'united states')",follow me on ig: ianman123,"[40.60940432, -74.00207571]",none,,yourboyiann,@dani_brown_eyes oh your fancy? you have wine
308362923200360448,"('bolton, bolton', 'united kingdom')",bolton,"[53.60267738, -2.40666944]",london,,brownlucyx,@dannyleetaylor @jennywaps @rshaw_x i can't even remember you beeping but i can believe that i jumped
308362923389116416,"('watauga, tx', 'united states')",,"[32.8918686, -97.2388201]",eastern time (us & canada),"['goal', 'determined']",kayjaymack,"my diet starts tomorrow, my goal is to lose atleast 15 pounds by ball #goal #determined"
308362923535904769,"('lebanon, pa', 'united states')",,,central time (us & canada),,caitlynream,too fucking bored right now. need a blunt.
308362923678527488,"('wichita, ks', 'united states')","wichita, ks","[37.6737816, -97.4206344]",central time (us & canada),,saraa_beckk,"@lizzie_ray no i would rather just go with my boyfriend, ya feel me?"
308362923846287360,"('castle walpole, houston', 'united states')","houston, texas.",,london,['mls'],texas_toon,chicago fire getting their arses handed to them by the galaxy. #mls
308362923984711680,"('elbeuf, seine-maritime', 'france')",,,amsterdam,,philosoly,"@charles_jill thank you for following back, jill. i was just reading your tweets."
308362923875651584,"('austin, tx', 'united states')",,"[30.1957812, -97.7588138]",none,,jorgede55919283,i feel stupid now i feel used or hurt...
308362924248948736,"('warren, mi', 'united states')",in heaven with adam r.i.p :(,"[42.45307846, -82.97619363]",eastern time (us & canada),,prettycomplexx_,"talking to jaylyn , lol i miss him man."
308362924320256001,"('gloucester, gloucestershire', 'united kingdom')",gloucester,"[51.87619559, -2.21429942]",none,,harry_pound,since when was the word 'jumbo' a suitable greeting to anyone in africa lmao
308362924362186752,"('fort smith, northwest territories', 'canada')","yellowknife, nt",,pacific time (us & canada),,caiobianchi1,wants to see richie hawtin playing live.
308362924651597824,"('midvale, ut', 'united states')",ermahgerd in 'murica.,"[40.60554865, -111.89657891]",central time (us & canada),,bitch_harmony,i forgot i had 20 new features to look at on ifunny!
308362924647391232,"('serpong, tangerang', 'indonesia')",,"[-6.31826738, 106.67870164]",none,,luckyyanuar,i just ousted @sunjaya as the mayor of front gate de latinos on @foursquare! http://t.co/rjrda6oidg
308362924819369986,"('plymouth, england', 'united kingdom')",around,,quito,,erinbifferato,"@claire_louu i just read it, no we don't it doeesn't say antthing/ about it"
307951258214494209,"('rockford, il', 'united states')",,"[42.2691368, -88.98572761]",none,['lazyproblems'],mandiiejean,"when you really gotta pee but are too lazy to get up, fuck. #lazyproblems"
307951258612953089,"('detroit, mi', 'united states')",chilling w/pimp daddy daj ,"[42.3704949, -83.2147199]",pacific time (us & canada),,call_me_famo,my girlfriend be cheating on me :'(
307951258118025216,"('indianapolis, in', 'united states')",dallas -indy- yanbu,,kuwait,,aljuhani109,@yzd8 http://t.co/uwzfwaz5kb
307951258986237952,"('boston, ma', 'united states')","bridgewater, ma","[42.33449922, -71.07463201]",central time (us & canada),,freakyfarnzy,niggas go crazy over shoes
307951258977837056,"('austerlitz, ny', 'united states')",chatham,,atlantic time (canada),,evanrugen,@pellewaldron hahaha what the hell.. theyre better off signing him as a coach
307951259103686656,"('sheffield, england', 'united kingdom')",sheffield,,casablanca,,w0ahlarry,york tomorrow with le bestfriend yay
307951259388874753,"('lorain, oh', 'united states')",,"[41.45101925, -82.17208528]",pacific time (us & canada),,keepitlowkey_,harlem shake edition @exquisitelounge  this thursday. lets make the biggest harlem shake video!
307951259518918656,"('irvine, ca', 'united states')","the city, bay area","[33.65063396, -117.8439314]",pacific time (us & canada),,ydthakilla,@foreverloisb like a cute dyke. i like but make it smaller
307951259455995905,"('bury, bury', 'united kingdom')",,"[53.54384613, -2.29112792]",none,,dylcasey17,@lukeseymour20 where you off mate?
307951260055764992,"('maryland, us', 'united states')",,"[38.95041126, -76.89779805]",eastern time (us & canada),,_elstoner,"@flixcatpls haha not my best interest, just buying it for the lul sis who's obsess."
307951260311638017,"('lufkin, tx', 'united states')",,"[31.32629596, -94.74100837]",hawaii,,24kgoldxix,"she used to always say fuck my niggas , but when i went to jail she fucked my niggas."
307951261309870081,"('alabama, us', 'united states')",,"[30.35682513, -87.26920252]",eastern time (us & canada),,walt_williams42,waiting in my barracks wish the chinese man will hurry and get here my food lol
307951261263740932,"('oakley, ca', 'united states')",yoc is what im repinnnn,"[37.99724205, -121.73175098]",pacific time (us & canada),,pedrogriffin_,"steve harvey, keenan thompson plotting hard tryna jump me"
307951261305671681,"('sevenoaks, kent', 'united kingdom')","kent, england",,casablanca,['incred'],rosieeroff,http://t.co/grcz67gfuq @urbandancecamp so coooool!? watch their other amazing videos too! #incred
307951262052270080,"('evergreen park, il', 'united states')",chicago,"[41.70920644, -87.69712221]",central time (us & canada),,sheaney07,@chai52390 tell me the story
307951261909651458,"('norfolk, va', 'united states')",pakistan,"[36.8508214, -76.2774771]",atlantic time (canada),,lill_onee,"@plain_arenee ... nothing , im chilling just having thoughts"
307951261087563776,"('dentsville, sc', 'united states')","columbia, metro","[34.0658757, -80.9701715]",none,,803countrygirl,all smiles twitter followers... follow me on  instagram @803southerngirl &amp; fbook @chrissysamuel http://t.co/zmfrrzp554
307951262714966017,"('bandar kuala lumpur, kuala lumpur', 'malaysia')",,,kuala lumpur,,superfaliq,@elizavers thanx elija :) !!
307951262777880578,"('los angeles, ca', 'united states')",,"[34.01758615, -118.36669753]",none,['summercomesoon'],marcusmoses99,love this summer weather..but its not summer :( three more long months #summercomesoon
307951262878560256,"('', '')",trinidad & tobago,"[10.66178509, -61.53361235]",caracas,,kserrette,burke from barbados..just blazed the track in the u 17 finals in the 100m. 10.47
307951262719172610,"('chalmette, la', 'united states')","(409) jasper, texas","[29.9304285, -89.9667477]",none,,zm_93,@bnsmith012 i'm overwhelmed with just this one job lol.
307951262912090113,"('dallas, tx', 'united states')","d-town, oakcliff, western park","[32.70927852, -96.89633889]",none,,uzzy_v,"@jesus_1323 but i understand you cause its true, but me, really me? haha"
307951263205707777,"('', '')",jamaica ,"[18.0186, -76.76094]",alaska,,lenny_enigma,suh is like @f_shug16 nuh hail me frm mawnin ! *folds arms*
307951263109218304,"('parker, sc', 'united states')",south kakalaki,"[34.86561921, -82.43385479]",eastern time (us & canada),,d_uribe7,@mrmorales1015 @stopkonyasap right?! they look sooo awesome
307951265323810816,"('rugby, warwickshire', 'united kingdom')",,"[52.36274742, -1.26415564]",none,,jacobbryan4,being banned from mcdonald's is great.. the money i have saved is just unreal.
307951265508360194,"('aberdeenshire, aberdeenshire', 'united kingdom')",ellon. ,"[57.53876953, -2.14951181]",casablanca,,waynesgirl_,"higher, higherrrrr"
307951265772601344,"('bloomingdale, fl', 'united states')","brandon, fl","[27.8832561, -82.2833756]",atlantic time (canada),,drmattwilliams,"cause i am, whatever you say i am. if i wasn't, then why would i say i am. in the papers, the news, everyday i am. idk its just the way i am"
307951265768423424,"('glasgow city, glasgow city', 'united kingdom')",glasgow,"[55.87913125, -4.239874]",amsterdam,,angelab0409,"@donny_the_1 oh god.... let me know how it goes, also remember and ask your questions in a polite manner xxx"
307951264862453760,"('san antonio, tx', 'united states')",,"[29.49128646, -98.48464695]",none,,dough_boy_nick,looking all sexy in charming charlie http://t.co/t7dqwydgru
307951266221416448,"('new jersey, us', 'united states')",,"[40.65117326, -75.50150625]",eastern time (us & canada),['abrightersixerfuture'],x_mark_the_spot,#abrightersixerfuture
307951266384998401,"('eastleigh, hampshire', 'united kingdom')",,"[50.96806717, -1.32598838]",london,,jakopatterson,love it how i have to give my cat away but brother and mum get to keep there's :(:(:(
307951266615685120,"('oneonta, ny', 'united states')","oneonta, ny/ flavor country","[42.4516384, -75.0755035]",eastern time (us & canada),,rawdogsrevenge,@69sprink ha! i knew you'd like that one
307951266728910848,"('muncie, in', 'united states')","muncie, in","[40.20989926, -85.39024989]",quito,,jr_pat_mcafee22,@schaadyb3 needs to wake his ass up!
307951266846371840,"('simpang kanan, batu pahat', 'malaysia')",,"[1.84907279, 103.07600498]",beijing,,mnurhafizjaffar,"i'm at mcdonald's tmn u drive-thru (batu pahat, johor) http://t.co/9k0uq6bldg"
307951266762457089,"('southampton, southampton', 'united kingdom')",south wales,"[50.89825691, -1.4030404]",hawaii,,sineadxoliver,in on a saturday night on my own!!!  what do people do when this happens??
307951269069324288,"('houston, tx', 'united states')","dallas,tx-------mercevegas","[29.70095291, -95.36050689]",central time (us & canada),,mrflyandflashy,@kalifornyokush that's crazy bro cuz that's where i'm at right now
307951269048360960,"('russian hill, san francisco', 'united states')","san francisco, ca","[37.79778583, -122.42190806]",pacific time (us & canada),,foxxynewport,i just wanna lay in bed with a hot hairy dude all day.
307951269060956161,"('charnwood, leicestershire', 'united kingdom')",,"[52.677968, -1.12098687]",edinburgh,"['success', 'failure']",blakeyi,@gemwaring how did it go? #success or #failure?
307951269526511617,"('', '')",in my appartment lol,"[5.5660221, -0.2237404]",london,,lugu_darlyn,lol i gave him 20gh n he's saying he will gv me my change when he get to adenta but i will drop at opkonglo @virginculture
307951269581033475,"('corona, ca', 'united states')","corona, california","[33.87057121, -117.53315587]",mountain time (us & canada),,michela__smith,@kelleych92 has sexy chins
307951269648142336,"('allen park, mi', 'united states')",,"[42.2793987, -83.2001678]",atlantic time (canada),,hannahyocum,you know your bf/gf has a name you don't have to refer to them only as that we all know don't worry
307951269694304256,"('philadelphia, pa', 'united states')",philadelphia,"[40.02137947, -75.05530357]",hawaii,,lickmah_beauty,if i had something to say about bout boul i would kindly call you or txt you and tell you no need to write it on twitter
307951269706883072,"('sheffield, sheffield', 'united kingdom')",,"[53.37167741, -1.47389943]",london,,cassievint,little dec is the cutest thing ever
307951269945950208,"('potsdam, potsdam', 'deutschland')","germany, potsdam","[52.381905, 13.1199934]",berlin,"['nowplaying', 'alexclare', 'bbradio', 'rocks', 'brandenburg']",_bb_radio_music,#nowplaying #alexclare ~ alex clare | too close ||| #bbradio #rocks #brandenburg
307951270306643970,"('north las vegas, nv', 'united states')",worldwide baby,,pacific time (us & canada),,realmiatorres,why is it guys try &amp; holla when i got the top down in my car &amp; i'm dancing in my seat? no i won't meet you @ poquito mas lol#ayfollowusthere
307951270600261632,"('maryland, us', 'united states')",mt. airy,"[39.34753343, -77.07291386]",eastern time (us & canada),['notmotivated'],aay_lexandra,i wish laundry did itself #notmotivated
307951273318158336,"('pennsylvania, us', 'united states')",pennsylvania ,,none,,meagan_lambert,if there is an urban legend i want to be true it's mothman.
307951273313980416,"('golconda, nv', 'united states')",,"[40.98518849, -117.70457583]",none,,bellingerbill,didn't see it sorry stop when you want don't sweat me ill meet you at the nugget if we get seperated
307951273494323200,"(""chuck e. cheese's, waldorf"", 'united states')",lost.,"[38.62867252, -76.91032648]",central time (us & canada),,twinneee_,"i'm at chuck e. cheese's (waldorf, md) http://t.co/2rzyvcv9ga"
307951273800499201,"('paradise, nv', 'united states')","las vegas, nv",,pacific time (us & canada),,markeortega,"@eaner0919 crazy, huh? i've got video of him stopping ray beltran from one of those ko to drugs cards in panama. seems forever ago."
307951274236727297,"('carmel, ny', 'united states')",ny,"[41.37866156, -73.69065305]",eastern time (us & canada),,megwalshh,@jennaroseveee like i curled my hair for this shit
307951274329001985,"('north lanarkshire, scotland', 'united kingdom')",glasgow(ish),,edinburgh,,robww,@dave_johnstone the cop friend is hot? i'm a fan!
307951274505170944,"('owensboro, ky', 'united states')",wonderland,"[37.739624, -87.115253]",mountain time (us & canada),,buckets_mcnasty,i can't help if yo bitch wanna grow old with me
307951274270285824,"('', '')",ghana,"[5.6587792, -0.1555205]",london,,rogyebi,@omgghanadotcom: campaigning for power/votes and then the use of that power 4 the benefit of all are not the same.
307951274710663168,"('merton, london', 'united kingdom')",richmond upon thames uk,"[51.40677852, -0.15699293]",london,,jckato,some playa trying to play me and am trying to get on top of the game. i don't play fools.
307951274677125120,"('cotswold, gloucestershire', 'united kingdom')",,"[52.05336677, -1.84574785]",none,,sophrose,@1lucyloo2 @harrietlouisewh @abihemmings89 @katdoulou @laurenjeniferx yesss! so up for this
307951275125923840,"('sunrise manor, nv', 'united states')",las vegas nevada,"[36.17347143, -115.05541523]",arizona,,quintanillaang,and my parents still bitching
307951277780897792,"('boston, lincolnshire', 'united kingdom')","lincolnshire, uk","[52.9667818, -0.0064849]",london,,poowitheyes,little ant and dec is just stupid. not funny. cringey. kill it.
307951277759934465,"('glasgow city, scotland', 'united kingdom')",the land of ooo,"[55.85831688, -4.25683806]",hawaii,,llamasinyerarea,i can't be arsed moving omg bolt
307951277806075904,"('st. joseph, il', 'united states')",,"[40.11505333, -88.02410759]",none,,fiscus7,@lukeguth1 hanging in there one shot back. @honda classic
307951278019997696,"('mcmechen, wv', 'united states')",mcmechen wv,"[39.99146207, -80.73434438]",none,,jpadlow_11,get henderson the ball
